Nom français,Nom anglais,Categorie,Nom espagnol,Définition française,Définition anglaise,Illustration,Illustration 2,Illustration 3,Source
Toupie,Wood shaper (US) Spindle moulder (UK),"Outil - instrument - machine, Travail du bois",,Machine-outil d'usinage du bois. Elle sert à profiler des sections de bois. On peut appeler ces profils des moulures.,"Stationary woodworking machine in which a vertically oriented spindle drives cutter heads to mill profiles on wood stock. The spindle may be raised and lowered relative to the shaper's table, and rotates between 3,000 and 10,000 rpm, with stock running along a vertical fence.",http://simonbaudry.free.fr/dico-meca/2019-03-20_144448toupie.png,,,
Mèche à bois,Wood spade,"Outil - instrument - machine, Travail du bois",,,,,,,
"Tourillon, goujon, cheville",Wooden wall plug,Composant mécanique,,"En menuiserie, petit cylindre ou petite tige de bois assurant la liaison et en complément d'assemblage de deux éléments de bois.",Wooden insert used to enable the attachment of two parts of wood.,http://simonbaudry.free.fr/dico-meca/cheville-bois.jpg,,,
Roue et vis sans fin,Worm drive,"Ensemble de pièces mécaniques, Transmission de puissance",,"Cylindre comportant une cannelure hélicoïdale (parfois plusieurs), la faisant ressembler à une tige filetée. Associée à un pignon, elle constitue un engrenage gauche (les deux axes ne sont pas dans le même plan), dans lequel elle se comporte comme une roue à une dent (ou plus, selon le nombre de cannelures). On appelle aussi parfois ce système roue et vis sans fin.",Gear arrangement in which a worm (which is a gear in the form of a screw) meshes with a worm gear (which is similar in appearance to a spur gear).,http://simonbaudry.free.fr/dico-meca/Worm_final_drive.jpg,http://simonbaudry.free.fr/dico-meca/Vis100f1.png,,
Clé,Wrench,Outil - instrument - machine,,,,,,,
"Collet, douille de serrage, bague de serrage",,Composant mécanique,,,"Subtype of chuck that forms a collar around an object to be held and exerts a strong clamping force on the object when it is tightened, usually by means of a tapered outer collar. It may be used to hold a workpiece or a tool.",http://simonbaudry.free.fr/dico-meca/2019-02-23_collet.png,http://simonbaudry.free.fr/dico-meca/2019-02-23_chuck-collet-tool.png,,
"Goupille (fendue, bêta, conique, cannelée, taraudée, élastique)",,Composant mécanique,,Cylindre métallique ou tige pliée en deux destinés à être sollicités en cisaillement pour des efforts relativement faibles. https://fr.wikipedia.org/wiki/Goupille,,http://simonbaudry.free.fr/dico-meca/2018-03-28_095703-goupilles.png,,,
About,,"Géométrie, Travail du bois",,Charpenterie : extrémité façonnée d’une pièce de bois. Menuiserie : partie perpendiculaire au sens du fil du bois. Extrémité d'une pièce taillée pour être assemblée à une autre.,,,,,https://fr.wikipedia.org/wiki/Bois_massif_about%C3%A9
Bois abouté,,Travail du bois,,"Bois d'ingénierie fabriqué à partir de courtes pièces de bois sec dont les extrémités sont emboîtées et collées les unes aux autres à l'aide d'un adhésif hydrofuge, afin de former une pièce de bois unique et plus longue.",,,,,https://fr.wikipedia.org/wiki/Bois_massif_about%C3%A9
Enture,,Travail du bois,,Désigne toute combinaison d'assemblage en bout dans le travail du bois ou du métal,,,,,https://fr.wikipedia.org/wiki/Bois_massif_about%C3%A9 https://fr.wikipedia.org/wiki/Enture
Gousset,,"Composant mécanique, Elément de fixation, Travail du bois",,"Pièce de charpente, jambage ou plaque en bois, en fer, posé obliquement (angle d’environ 45°) reliant par assemblage un poteau vertical et une poutre horizontale tout en maintenant l’écartement et en donnant de la rigidité à cet ensemble.",,,,,https://fr.wikipedia.org/wiki/Gousset_(architecture) https://notech.franceserv.com/goussets.html
Assemblage en bois,,Travail du bois,,,,,,,https://notech.franceserv.com/bois-assemblages.html
Bois de fil,,Travail du bois,,,,,,,
Bois debout,,Travail du bois,,,,,,,
